CodigoVariable,CodigoDuracion,UnidadMedida,CodigoSICAgente,CodigoPlanta,Version
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,JAGS,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
GReal,PT1H,kWh,ISGG,2TUV,TX2
